Model,Const,Mem,Prop,Param Region,Robust,BigStep Horizon,Time-Travelling,#States (after),Time (Total),Time (MC),% Known,# Regions
herman5_pla,N/A,1,3_reward_max_stable,1/1000000<=p<=999999/1000000,False,0,false,	196,49.07,48.169,99.0234,29
herman5_pla,N/A,1,3_reward_max_stable,1/1000000<=p<=999999/1000000,True,0,false,	196,49.73,48.831,99.0234,29
herman5_pla,N/A,1,3_reward_max_stable,1/1000000<=p<=999999/1000000,True,2,true,	128,57.25,55.758,99.2188,20
herman5_pla,N/A,1,3_reward_max_stable,1/1000000<=p<=999999/1000000,True,4,true,	65,16.32,14.408,99.2188,18
herman9_pla,N/A,1,3_reward_max_stable,1/1000000<=p<=999999/1000000,False,0,false,	8008,18.76,2.713,100.0,4
herman9_pla,N/A,1,3_reward_max_stable,1/1000000<=p<=999999/1000000,True,0,false,	8008,20.04,3.864,100.0,4
herman9_pla,N/A,1,3_reward_max_stable,?,True,2,true,	86078,TO,TO,TO,TO
herman9_pla,N/A,1,3_reward_max_stable,?,True,4,true,	86078,TO,TO,TO,TO
crowds,CrowdSize=2 TotalRuns=5 ,1,0.25_probability_max_observe0Greater1,"1/1000000<=pL<=999999/1000000,1/1000000<=pK<=999999/1000000",False,0,false,	80,2.44,1.347,99.0005,1036
crowds,CrowdSize=2 TotalRuns=5 ,1,0.25_probability_max_observe0Greater1,"1/1000000<=pL<=999999/1000000,1/1000000<=pK<=999999/1000000",True,0,false,	80,2.43,1.295,99.0005,1036
crowds,CrowdSize=2 TotalRuns=5 ,1,0.25_probability_max_observe0Greater1,"1/1000000<=pL<=999999/1000000,1/1000000<=pK<=999999/1000000",True,2,true,	67,3.77,2.308,99.0005,1039
crowds,CrowdSize=2 TotalRuns=5 ,1,0.25_probability_max_observe0Greater1,"1/1000000<=pL<=999999/1000000,1/1000000<=pK<=999999/1000000",True,4,true,	64,3.72,2.379,99.0005,1039
crowds,CrowdSize=20 TotalRuns=2 ,1,0.25_probability_max_observe0Greater1,"1/1000000<=pL<=999999/1000000,1/1000000<=pK<=999999/1000000",False,0,false,	20,1.89,0.3,99.0051,715
crowds,CrowdSize=20 TotalRuns=2 ,1,0.25_probability_max_observe0Greater1,"1/1000000<=pL<=999999/1000000,1/1000000<=pK<=999999/1000000",True,0,false,	20,1.82,0.295,99.0051,715
crowds,CrowdSize=20 TotalRuns=2 ,1,0.25_probability_max_observe0Greater1,"1/1000000<=pL<=999999/1000000,1/1000000<=pK<=999999/1000000",True,2,true,	13,2.22,0.572,99.0051,715
crowds,CrowdSize=20 TotalRuns=2 ,1,0.25_probability_max_observe0Greater1,"1/1000000<=pL<=999999/1000000,1/1000000<=pK<=999999/1000000",True,4,true,	13,2.17,0.53,99.0051,715
nand,N=5 K=10 ,1,0.5_probability_max_target,"1/1000000<=prob1<=999999/1000000,1/1000000<=perr<=999999/1000000",False,0,false,	5447,57.37,54.204,99.0005,1891
nand,N=5 K=10 ,1,0.5_probability_max_target,"1/1000000<=prob1<=999999/1000000,1/1000000<=perr<=999999/1000000",True,0,false,	5447,60.69,57.737,99.0005,1891
nand,N=5 K=10 ,1,0.5_probability_max_target,?,True,2,true,?,ERR,ERR,ERR,ERR
nand,N=5 K=10 ,1,0.5_probability_max_target,?,True,4,true,?,ERR,ERR,ERR,ERR
nand,N=5 K=25 ,1,0.5_probability_max_target,"1/1000000<=prob1<=999999/1000000,1/1000000<=perr<=999999/1000000",False,0,false,	13727,174.65,169.111,99.0005,2215
nand,N=5 K=25 ,1,0.5_probability_max_target,"1/1000000<=prob1<=999999/1000000,1/1000000<=perr<=999999/1000000",True,0,false,	13727,195.97,190.502,99.0005,2215
nand,N=5 K=25 ,1,0.5_probability_max_target,?,True,2,true,?,ERR,ERR,ERR,ERR
nand,N=5 K=25 ,1,0.5_probability_max_target,?,True,4,true,?,ERR,ERR,ERR,ERR
