Model,Const,Mem,Prop,Param Region,Robust,BigStep Horizon,Time-Travelling,#States (after),Time (MC),% Known,# Regions
herman5_pla,N/A,N/A,3_reward_max_stable,1/100<=p<=99/100,false,0,False,	196,14.724,99.9908,53
herman5_pla,N/A,N/A,3_reward_max_stable,1/100<=p<=99/100,true,0,False,	196,30.048,99.9908,53
herman5_pla,N/A,N/A,3_reward_max_stable,1/100<=p<=99/100,true,2,True,	75,3.044,99.9908,33
herman7_pla,N/A,N/A,5_reward_max_stable,1/100<=p<=99/100,false,0,False,	1422,ERR,ERR,ERR
herman7_pla,N/A,N/A,5_reward_max_stable,1/100<=p<=99/100,true,0,False,	1422,TO,TO,TO
herman7_pla,N/A,N/A,5_reward_max_stable,1/100<=p<=99/100,true,2,True,	499,40.856,99.9908,58
herman9_pla,N/A,N/A,10_reward_max_stable,1/100<=p<=99/100,false,0,False,	8008,ERR,ERR,ERR
herman9_pla,N/A,N/A,10_reward_max_stable,1/100<=p<=99/100,true,0,False,	8008,ERR,ERR,ERR
herman9_pla,N/A,N/A,10_reward_max_stable,1/100<=p<=99/100,true,2,True,	2856,TO,TO,TO
herman_random_pass_speedreducer_2-5,N/A,N/A,3_reward_max_stable,"1/100<=q<=99/100,1/100<=r<=99/100,1/100<=p<=99/100",false,0,False,	673,0.789,100.0,1
herman_random_pass_speedreducer_2-5,N/A,N/A,3_reward_max_stable,"1/100<=q<=99/100,1/100<=r<=99/100,1/100<=p<=99/100",true,0,False,	673,TO,TO,TO
herman_random_pass_speedreducer_2-5,N/A,N/A,3_reward_max_stable,"1/100<=q<=99/100,1/100<=r<=99/100,1/100<=p<=99/100",true,2,True,	895,TO,TO,TO
herman_random_pass_speedreducer_2-9,N/A,N/A,10_reward_max_stable,?,false,0,False,?,ERR,ERR,ERR
herman_random_pass_speedreducer_2-9,N/A,N/A,10_reward_max_stable,?,true,0,False,?,ERR,ERR,ERR
herman_random_pass_speedreducer_2-9,N/A,N/A,10_reward_max_stable,?,true,2,True,?,ERR,ERR,ERR
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",false,0,False,	80,TO,TO,TO
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,0,False,	80,TO,TO,TO
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,2,True,	26,ERR,ERR,ERR
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",false,0,False,	80,ERR,ERR,ERR
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,0,False,	80,TO,TO,TO
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,2,True,	26,ERR,ERR,ERR
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",false,0,False,	40,205.042,99.99,88165
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,0,False,	40,204.577,99.99,88165
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,2,True,	14,273.215,99.99,97066
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",false,0,False,	20,96.522,99.99,74080
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,0,False,	20,106.97,99.99,74080
crowds,CrowdSize=20 TotalRuns=2 ,N/A,0.25_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",true,2,True,	8,137.499,99.99,72370
nand,N=5 K=10 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",false,0,False,	5447,ERR,ERR,ERR
nand,N=5 K=10 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,0,False,	5447,ERR,ERR,ERR
nand,N=5 K=10 ,N/A,0.5_probability_max_target,?,true,2,True,	8112,ERR,ERR,ERR
nand,N=5 K=25 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",false,0,False,	13727,ERR,ERR,ERR
nand,N=5 K=25 ,N/A,0.5_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",true,0,False,	13727,ERR,ERR,ERR
nand,N=5 K=25 ,N/A,0.5_probability_max_target,?,true,2,True,	20082,ERR,ERR,ERR
4x4grid-avoid,N/A,1,0.9_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",false,0,False,	45,TO,TO,TO
4x4grid-avoid,N/A,1,0.9_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",true,0,False,	45,TO,TO,TO
4x4grid-avoid,N/A,1,0.9_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",true,2,True,	845,ERR,ERR,ERR
4x4grid,N/A,1,10_reward_min_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",false,0,False,	47,ERR,ERR,ERR
4x4grid,N/A,1,10_reward_min_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",true,0,False,	47,TO,TO,TO
4x4grid,N/A,1,10_reward_min_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",true,2,True,	49,ERR,ERR,ERR
network2_packets_sent,K=2 T=2 ,1,1_reward_min_goal,"1/100<=p1_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p7_0<=99/100,1/100<=p12_0<=99/100,1/100<=p16_0<=99/100,1/100<=p17_0<=99/100,1/100<=p18_0<=99/100",false,0,False,	44,TO,TO,TO
network2_packets_sent,K=2 T=2 ,1,1_reward_min_goal,"1/100<=p1_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p7_0<=99/100,1/100<=p12_0<=99/100,1/100<=p16_0<=99/100,1/100<=p17_0<=99/100,1/100<=p18_0<=99/100",true,0,False,	44,TO,TO,TO
network2_packets_sent,K=2 T=2 ,1,1_reward_min_goal,"1/100<=p1_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p7_0<=99/100,1/100<=p12_0<=99/100,1/100<=p16_0<=99/100,1/100<=p17_0<=99/100,1/100<=p18_0<=99/100",true,2,True,	55,TO,TO,TO
network2_priorities_dropped_packets,K=2 T=2 ,1,1.5_reward_min_goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p7_0<=99/100,1/100<=p8_0<=99/100,1/100<=p9_0<=99/100,1/100<=p25_0<=99/100,1/100<=p26_0<=99/100,1/100<=p27_0<=99/100,1/100<=p28_0<=99/100,1/100<=p29_0<=99/100,1/100<=p30_0<=99/100,1/100<=p31_0<=99/100,1/100<=p32_0<=99/100,1/100<=p33_0<=99/100,1/100<=p34_0<=99/100,1/100<=p35_0<=99/100,1/100<=p36_0<=99/100,1/100<=p37_0<=99/100,1/100<=p38_0<=99/100,1/100<=p39_0<=99/100,1/100<=p56_0<=99/100,1/100<=p57_0<=99/100,1/100<=p58_0<=99/100,1/100<=p59_0<=99/100,1/100<=p60_0<=99/100,1/100<=p61_0<=99/100,1/100<=p62_0<=99/100,1/100<=p63_0<=99/100,1/100<=p64_0<=99/100,1/100<=p80_0<=99/100,1/100<=p81_0<=99/100,1/100<=p82_0<=99/100,1/100<=p83_0<=99/100,1/100<=p84_0<=99/100,1/100<=p85_0<=99/100,1/100<=p86_0<=99/100,1/100<=p87_0<=99/100,1/100<=p88_0<=99/100,1/100<=p89_0<=99/100,1/100<=p90_0<=99/100,1/100<=p91_0<=99/100,1/100<=p92_0<=99/100,1/100<=p93_0<=99/100,1/100<=p94_0<=99/100,1/100<=p95_0<=99/100,1/100<=p96_0<=99/100,1/100<=p97_0<=99/100,1/100<=p98_0<=99/100,1/100<=p99_0<=99/100,1/100<=p100_0<=99/100,1/100<=p101_0<=99/100,1/100<=p102_0<=99/100,1/100<=p103_0<=99/100,1/100<=p104_0<=99/100,1/100<=p105_0<=99/100,1/100<=p106_0<=99/100",false,0,False,	260,0.231,100.0,1
network2_priorities_dropped_packets,K=2 T=2 ,1,1.5_reward_min_goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p7_0<=99/100,1/100<=p8_0<=99/100,1/100<=p9_0<=99/100,1/100<=p25_0<=99/100,1/100<=p26_0<=99/100,1/100<=p27_0<=99/100,1/100<=p28_0<=99/100,1/100<=p29_0<=99/100,1/100<=p30_0<=99/100,1/100<=p31_0<=99/100,1/100<=p32_0<=99/100,1/100<=p33_0<=99/100,1/100<=p34_0<=99/100,1/100<=p35_0<=99/100,1/100<=p36_0<=99/100,1/100<=p37_0<=99/100,1/100<=p38_0<=99/100,1/100<=p39_0<=99/100,1/100<=p56_0<=99/100,1/100<=p57_0<=99/100,1/100<=p58_0<=99/100,1/100<=p59_0<=99/100,1/100<=p60_0<=99/100,1/100<=p61_0<=99/100,1/100<=p62_0<=99/100,1/100<=p63_0<=99/100,1/100<=p64_0<=99/100,1/100<=p80_0<=99/100,1/100<=p81_0<=99/100,1/100<=p82_0<=99/100,1/100<=p83_0<=99/100,1/100<=p84_0<=99/100,1/100<=p85_0<=99/100,1/100<=p86_0<=99/100,1/100<=p87_0<=99/100,1/100<=p88_0<=99/100,1/100<=p89_0<=99/100,1/100<=p90_0<=99/100,1/100<=p91_0<=99/100,1/100<=p92_0<=99/100,1/100<=p93_0<=99/100,1/100<=p94_0<=99/100,1/100<=p95_0<=99/100,1/100<=p96_0<=99/100,1/100<=p97_0<=99/100,1/100<=p98_0<=99/100,1/100<=p99_0<=99/100,1/100<=p100_0<=99/100,1/100<=p101_0<=99/100,1/100<=p102_0<=99/100,1/100<=p103_0<=99/100,1/100<=p104_0<=99/100,1/100<=p105_0<=99/100,1/100<=p106_0<=99/100",true,0,False,	260,ERR,ERR,ERR
