Model,Const,Mem,Prop,Param Region,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,#States (after),Time (MC),% Known,# Regions
4x4grid-avoid,N/A,1,0.0007238752488990001_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.01,false,false,estimate,delta,	45,0.155,100.0,126
4x4grid-avoid,N/A,1,0.0007238752488990001_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.01,false,false,roundrobin,delta,	45,1.819,100.0,374
4x4grid-avoid,N/A,1,0.0007238752488990001_probability_max_notbad U goal,"1/100<=p1_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100",0.01,true,false,estimate,minmaxdelta,	45,1.539,100.0,245
4x4grid,N/A,1,5.1021467541_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.01,false,false,estimate,delta,	47,0.028,100.0,18
4x4grid,N/A,1,5.1021467541_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.01,true,false,estimate,minmaxdelta,	47,0.108,100.0,53
4x4grid,N/A,1,5.1021467541_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100",0.01,false,false,roundrobin,delta,	47,0.013,100.0,50
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.000979976015073_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,false,estimate,minmaxdelta,	80,0.001,100.0,1
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.000979976015073_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,false,false,estimate,delta,	80,0.002,100.0,1
crowds,CrowdSize=2 TotalRuns=5 ,N/A,0.000979976015073_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,false,false,roundrobin,delta,	80,0.001,100.0,1
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.0009741932049959999_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,false,false,roundrobin,delta,	80,0.001,100.0,1
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.0009741932049959999_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,false,false,estimate,delta,	80,0.003,100.0,1
crowds,CrowdSize=5 TotalRuns=5 ,N/A,0.0009741932049959999_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,false,estimate,minmaxdelta,	80,0.001,100.0,1
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.00029560819721399995_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,false,estimate,minmaxdelta,	40,0.001,100.0,1
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.00029560819721399995_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,false,false,estimate,delta,	40,0.001,100.0,1
crowds,CrowdSize=10 TotalRuns=3 ,N/A,0.00029560819721399995_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,false,false,roundrobin,delta,	40,0.0,100.0,1
crowds,CrowdSize=20 TotalRuns=2 ,N/A,9.909901395899999e-05_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,false,false,roundrobin,delta,	20,0.0,100.0,1
crowds,CrowdSize=20 TotalRuns=2 ,N/A,9.909901395899999e-05_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,true,false,estimate,minmaxdelta,	20,0.0,100.0,1
crowds,CrowdSize=20 TotalRuns=2 ,N/A,9.909901395899999e-05_probability_max_observe0Greater1,"1/100<=pL<=99/100,1/100<=pK<=99/100",0.01,false,false,estimate,delta,	20,0.0,100.0,1
herman5_pla,N/A,N/A,1.91399832558_reward_max_stable,1/100<=p<=99/100,0.01,false,false,estimate,delta,	196,0.085,100.0,52
herman5_pla,N/A,N/A,1.91399832558_reward_max_stable,1/100<=p<=99/100,0.01,false,false,roundrobin,delta,	196,0.032,100.0,52
herman5_pla,N/A,N/A,1.91399832558_reward_max_stable,1/100<=p<=99/100,0.01,true,false,estimate,minmaxdelta,	196,0.21,100.0,52
herman7_pla,N/A,N/A,4.44839165991_reward_max_stable,1/100<=p<=99/100,0.01,false,false,estimate,delta,	1422,1.148,100.0,100
herman7_pla,N/A,N/A,4.44839165991_reward_max_stable,1/100<=p<=99/100,0.01,false,false,roundrobin,delta,	1422,0.425,100.0,100
herman7_pla,N/A,N/A,4.44839165991_reward_max_stable,1/100<=p<=99/100,0.01,true,false,estimate,minmaxdelta,	1422,2.919,100.0,100
herman9_pla,N/A,N/A,7.84182736062_reward_max_stable,1/100<=p<=99/100,0.01,false,false,estimate,delta,	8008,13.699,100.0,186
herman9_pla,N/A,N/A,7.84182736062_reward_max_stable,1/100<=p<=99/100,0.01,true,false,estimate,minmaxdelta,	8008,38.403,100.0,186
herman9_pla,N/A,N/A,7.84182736062_reward_max_stable,1/100<=p<=99/100,0.01,false,false,roundrobin,delta,	8008,4.627,100.0,186
maze2,N/A,1,14.4310806189_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p8_0<=99/100,1/100<=p9_0<=99/100,1/100<=p10_0<=99/100,1/100<=p12_0<=99/100,1/100<=p13_0<=99/100,1/100<=p14_0<=99/100,1/100<=p15_0<=99/100,1/100<=p17_0<=99/100,1/100<=p19_0<=99/100",0.01,false,false,roundrobin,delta,	41,ERR,ERR,ERR
maze2,N/A,1,14.4310806189_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p8_0<=99/100,1/100<=p9_0<=99/100,1/100<=p10_0<=99/100,1/100<=p12_0<=99/100,1/100<=p13_0<=99/100,1/100<=p14_0<=99/100,1/100<=p15_0<=99/100,1/100<=p17_0<=99/100,1/100<=p19_0<=99/100",0.01,true,false,estimate,minmaxdelta,	41,1.904,100.0,637
maze2,N/A,1,14.4310806189_reward_max_goal,"1/100<=p1_0<=99/100,1/100<=p2_0<=99/100,1/100<=p3_0<=99/100,1/100<=p4_0<=99/100,1/100<=p5_0<=99/100,1/100<=p6_0<=99/100,1/100<=p8_0<=99/100,1/100<=p9_0<=99/100,1/100<=p10_0<=99/100,1/100<=p12_0<=99/100,1/100<=p13_0<=99/100,1/100<=p14_0<=99/100,1/100<=p15_0<=99/100,1/100<=p17_0<=99/100,1/100<=p19_0<=99/100",0.01,false,false,estimate,delta,	41,0.301,100.0,275
nand,N=2 K=2 ,N/A,0.026294301811799998_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.01,true,false,estimate,minmaxdelta,	124,0.021,100.0,11
nand,N=2 K=2 ,N/A,0.026294301811799998_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.01,false,false,roundrobin,delta,	124,0.018,100.0,59
nand,N=2 K=2 ,N/A,0.026294301811799998_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.01,false,false,estimate,delta,	124,0.01,100.0,11
nand,N=5 K=5 ,N/A,0.0070248255016499995_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.01,true,false,estimate,minmaxdelta,	2687,0.701,100.0,17
nand,N=5 K=5 ,N/A,0.0070248255016499995_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.01,false,false,estimate,delta,	2687,0.254,100.0,16
nand,N=5 K=5 ,N/A,0.0070248255016499995_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.01,false,false,roundrobin,delta,	2687,1.012,100.0,245
nand,N=5 K=10 ,N/A,0.0228796462719_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.01,false,false,roundrobin,delta,	5447,ERR,ERR,ERR
nand,N=5 K=10 ,N/A,0.0228796462719_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.01,true,false,estimate,minmaxdelta,	5447,8.865,100.0,86
nand,N=5 K=10 ,N/A,0.0228796462719_probability_max_target,"1/100<=prob1<=99/100,1/100<=perr<=99/100",0.01,false,false,estimate,delta,	5447,2.283,100.0,86
