Model,Const,Mem,Prop,Region,Region Bound,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (wall),% Known,Regions
4x4grid-avoid,N/A,1,0.8460818372337651_probability_min_notbad U goal,3,0.1,1e-05,true,true,roundrobin,delta,true,	47,1.625,100.0,13329
4x4grid-avoid,N/A,1,0.8460818372337651_probability_min_notbad U goal,3,0.1,1e-05,true,false,roundrobin,delta,true,	45,2.336,100.0,19297
4x4grid-avoid,N/A,1,0.8461579838376501_probability_min_notbad U goal,3,0.1,0.0001,true,true,roundrobin,delta,true,	47,0.596,100.0,4489
4x4grid-avoid,N/A,1,0.854534110265_probability_min_notbad U goal,3,0.1,0.01,true,true,roundrobin,delta,true,	47,0.111,100.0,361
4x4grid-avoid,N/A,1,0.854534110265_probability_min_notbad U goal,3,0.1,0.01,true,false,roundrobin,delta,true,	45,0.128,100.0,489
4x4grid-avoid,N/A,1,0.9306807141500001_probability_min_notbad U goal,3,0.1,0.1,true,true,roundrobin,delta,true,	47,0.048,100.0,25
4x4grid-avoid,N/A,1,0.9306807141500001_probability_min_notbad U goal,3,0.1,0.1,true,false,roundrobin,delta,true,	45,0.048,100.0,33
4x4grid-avoid,N/A,1,0.8461579838376501_probability_min_notbad U goal,3,0.1,0.0001,true,false,roundrobin,delta,true,	45,0.81,100.0,6305
4x4grid-avoid,N/A,1,0.937856889174_probability_min_notbad U goal,3,1e-06,0.01,true,false,roundrobin,delta,true,	45,0.626,100.0,265
4x4grid-avoid,N/A,1,0.9286640345177399_probability_min_notbad U goal,3,1e-06,0.0001,true,true,roundrobin,delta,true,	47,1.521,100.0,481
4x4grid-avoid,N/A,1,0.937856889174_probability_min_notbad U goal,3,1e-06,0.01,true,true,roundrobin,delta,true,	47,0.079,100.0,73
4x4grid-avoid,N/A,1,0.928580463111774_probability_min_notbad U goal,3,1e-06,1e-05,true,false,roundrobin,delta,true,	45,89.367,100.0,49569
4x4grid-avoid,N/A,1,0.928580463111774_probability_min_notbad U goal,3,1e-06,1e-05,true,true,roundrobin,delta,true,	47,12.171,100.0,1497
4x4grid-avoid,N/A,1,0.9286640345177399_probability_min_notbad U goal,3,1e-06,0.0001,true,false,roundrobin,delta,true,	45,63.87,100.0,9833
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,0,0.0001,true,true,roundrobin,delta,true,	47,0.192,100.0,137
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,0,0.01,true,false,roundrobin,delta,true,	45,0.171,100.0,137
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,0,0.0001,true,false,roundrobin,delta,true,	45,10.704,100.0,929
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,0,1e-05,true,false,roundrobin,delta,true,	45,10.777,100.0,929
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,0,1e-05,true,true,roundrobin,delta,true,	47,0.191,100.0,137
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,0,0.01,true,true,roundrobin,delta,true,	47,0.097,100.0,73
4x4grid-avoid,N/A,1,0.942857145325505_probability_min_notbad U goal,3,"0,0.8",0.1,true,false,roundrobin,delta,true,	45,0.057,100.0,41
4x4grid-avoid,N/A,1,0.8657142879806909_probability_min_notbad U goal,3,"0,0.8",0.01,true,false,roundrobin,delta,true,	45,1.402,100.0,369
4x4grid-avoid,N/A,1,0.942857145325505_probability_min_notbad U goal,3,"0,0.8",0.1,true,true,roundrobin,delta,true,	47,0.046,100.0,9
4x4grid-avoid,N/A,1,0.8571514308154166_probability_min_notbad U goal,3,"0,0.8",1e-05,true,true,roundrobin,delta,true,	47,64.654,100.0,3289
4x4grid-avoid,N/A,1,0.8572285736727613_probability_min_notbad U goal,3,"0,0.8",0.0001,true,true,roundrobin,delta,true,	47,33.12,100.0,2617
4x4grid-avoid,N/A,1,0.8571514308154166_probability_min_notbad U goal,3,"0,0.8",1e-05,true,false,roundrobin,delta,true,	45,95.813,100.0,6721
4x4grid-avoid,N/A,1,0.8572285736727613_probability_min_notbad U goal,3,"0,0.8",0.0001,true,false,roundrobin,delta,true,	45,42.003,100.0,4377
4x4grid-avoid,N/A,1,0.8657142879806909_probability_min_notbad U goal,3,"0,0.8",0.01,true,true,roundrobin,delta,true,	47,0.168,100.0,177
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,"0.2,1",0.01,true,true,roundrobin,delta,true,	47,0.05,100.0,25
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,"0.2,1",1e-05,true,true,roundrobin,delta,true,	47,0.1,100.0,65
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,"0.2,1",0.0001,true,false,roundrobin,delta,true,	45,2.097,100.0,449
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,"0.2,1",1e-05,true,false,roundrobin,delta,true,	45,2.082,100.0,449
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,"0.2,1",0.0001,true,true,roundrobin,delta,true,	47,0.102,100.0,65
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,"0.2,1",0.01,true,false,roundrobin,delta,true,	45,0.099,100.0,65
4x4grid,N/A,1,5.777541876600001_reward_max_goal,3,0.1,0.1,true,false,roundrobin,delta,true,	47,0.042,100.0,41
4x4grid,N/A,1,6.41942677909026_reward_max_goal,3,0.1,1e-05,true,false,roundrobin,delta,true,	47,0.546,100.0,4433
4x4grid,N/A,1,6.41942677909026_reward_max_goal,3,0.1,1e-05,true,true,roundrobin,delta,true,	49,0.471,100.0,3753
4x4grid,N/A,1,6.35529606426_reward_max_goal,3,0.1,0.01,true,false,roundrobin,delta,true,	47,0.054,100.0,137
4x4grid,N/A,1,5.777541876600001_reward_max_goal,3,0.1,0.1,true,true,roundrobin,delta,true,	49,0.042,100.0,41
4x4grid,N/A,1,6.35529606426_reward_max_goal,3,0.1,0.01,true,true,roundrobin,delta,true,	49,0.052,100.0,121
4x4grid,N/A,1,6.418849024902601_reward_max_goal,3,0.1,0.0001,true,true,roundrobin,delta,true,	49,0.187,100.0,1273
4x4grid,N/A,1,6.418849024902601_reward_max_goal,3,0.1,0.0001,true,false,roundrobin,delta,true,	47,0.199,100.0,1369
4x4grid,N/A,1,5.041627221223621_reward_max_goal,3,1e-06,1e-05,true,true,roundrobin,delta,true,	49,0.465,100.0,3561
4x4grid,N/A,1,5.041627221223621_reward_max_goal,3,1e-06,1e-05,true,false,roundrobin,delta,true,	47,0.559,100.0,4281
4x4grid,N/A,1,4.991260861620001_reward_max_goal,3,1e-06,0.01,true,false,roundrobin,delta,true,	47,0.054,100.0,153
4x4grid,N/A,1,4.5375098742_reward_max_goal,3,1e-06,0.1,true,false,roundrobin,delta,true,	47,0.04,100.0,41
4x4grid,N/A,1,5.041173470236201_reward_max_goal,3,1e-06,0.0001,true,false,roundrobin,delta,true,	47,0.185,100.0,1257
4x4grid,N/A,1,4.991260861620001_reward_max_goal,3,1e-06,0.01,true,true,roundrobin,delta,true,	49,0.051,100.0,121
4x4grid,N/A,1,4.5375098742_reward_max_goal,3,1e-06,0.1,true,true,roundrobin,delta,true,	49,0.041,100.0,41
4x4grid,N/A,1,5.041173470236201_reward_max_goal,3,1e-06,0.0001,true,true,roundrobin,delta,true,	49,0.167,100.0,1097
4x4grid,N/A,1,4.537500000300001_reward_max_goal,3,0,0.1,true,false,roundrobin,delta,true,	47,0.043,100.0,41
4x4grid,N/A,1,5.04161625033333_reward_max_goal,3,0,1e-05,true,true,roundrobin,delta,true,	49,0.689,100.0,3585
4x4grid,N/A,1,5.0411625003333_reward_max_goal,3,0,0.0001,true,false,roundrobin,delta,true,	47,0.254,100.0,1257
4x4grid,N/A,1,4.99125000033_reward_max_goal,3,0,0.01,true,true,roundrobin,delta,true,	49,0.06,100.0,121
4x4grid,N/A,1,4.537500000300001_reward_max_goal,3,0,0.1,true,true,roundrobin,delta,true,	49,0.045,100.0,41
4x4grid,N/A,1,5.04161625033333_reward_max_goal,3,0,1e-05,true,false,roundrobin,delta,true,	47,0.774,100.0,4281
4x4grid,N/A,1,4.99125000033_reward_max_goal,3,0,0.01,true,false,roundrobin,delta,true,	47,0.062,100.0,153
4x4grid,N/A,1,5.0411625003333_reward_max_goal,3,0,0.0001,true,true,roundrobin,delta,true,	49,0.237,100.0,1097
4x4grid,N/A,1,6.62042120454_reward_max_goal,3,"0,0.8",0.01,true,false,roundrobin,delta,true,	47,0.058,100.0,129
4x4grid,N/A,1,6.68722727305854_reward_max_goal,3,"0,0.8",1e-05,true,false,roundrobin,delta,true,	47,0.831,100.0,4553
4x4grid,N/A,1,6.68722727305854_reward_max_goal,3,"0,0.8",1e-05,true,true,roundrobin,delta,true,	49,0.729,100.0,3841
4x4grid,N/A,1,6.018564731400001_reward_max_goal,3,"0,0.8",0.1,true,true,roundrobin,delta,true,	49,0.041,100.0,25
4x4grid,N/A,1,6.6866254165854_reward_max_goal,3,"0,0.8",0.0001,true,true,roundrobin,delta,true,	49,0.273,100.0,1297
4x4grid,N/A,1,6.6866254165854_reward_max_goal,3,"0,0.8",0.0001,true,false,roundrobin,delta,true,	47,0.279,100.0,1385
4x4grid,N/A,1,6.62042120454_reward_max_goal,3,"0,0.8",0.01,true,true,roundrobin,delta,true,	49,0.057,100.0,105
4x4grid,N/A,1,6.018564731400001_reward_max_goal,3,"0,0.8",0.1,true,false,roundrobin,delta,true,	47,0.039,100.0,25
4x4grid,N/A,1,6.68722499008137_reward_max_goal,3,"0.2,1",1e-05,true,true,roundrobin,delta,true,	49,0.727,100.0,3841
4x4grid,N/A,1,6.018562676699999_reward_max_goal,3,"0.2,1",0.1,true,false,roundrobin,delta,true,	47,0.039,100.0,25
4x4grid,N/A,1,6.68722499008137_reward_max_goal,3,"0.2,1",1e-05,true,false,roundrobin,delta,true,	47,0.805,100.0,4433
4x4grid,N/A,1,6.62041894437_reward_max_goal,3,"0.2,1",0.01,true,true,roundrobin,delta,true,	49,0.058,100.0,105
4x4grid,N/A,1,6.6866231338137_reward_max_goal,3,"0.2,1",0.0001,true,true,roundrobin,delta,true,	49,0.273,100.0,1297
4x4grid,N/A,1,6.018562676699999_reward_max_goal,3,"0.2,1",0.1,true,true,roundrobin,delta,true,	49,0.041,100.0,25
4x4grid,N/A,1,6.62041894437_reward_max_goal,3,"0.2,1",0.01,true,false,roundrobin,delta,true,	47,0.058,100.0,121
4x4grid,N/A,1,6.6866231338137_reward_max_goal,3,"0.2,1",0.0001,true,false,roundrobin,delta,true,	47,0.283,100.0,1385
alarm,N/A,N/A,0.23584147736164202_probability_max_VENTTUBE=0,2,0.1,1e-05,true,true,roundrobin,delta,true,	15,0.148,100.0,85
alarm,N/A,N/A,0.23582025141642002_probability_max_VENTTUBE=0,2,0.1,0.0001,true,false,roundrobin,delta,true,	31,0.143,100.0,73
alarm,N/A,N/A,0.21225945222_probability_max_VENTTUBE=0,2,0.1,0.1,true,true,roundrobin,delta,true,	15,0.139,100.0,17
alarm,N/A,N/A,0.21225945222_probability_max_VENTTUBE=0,2,0.1,0.1,true,false,roundrobin,delta,true,	31,0.138,100.0,21
alarm,N/A,N/A,0.233485397442_probability_max_VENTTUBE=0,2,0.1,0.01,true,false,roundrobin,delta,true,	31,0.14,100.0,49
alarm,N/A,N/A,0.23582025141642002_probability_max_VENTTUBE=0,2,0.1,0.0001,true,true,roundrobin,delta,true,	15,0.146,100.0,73
alarm,N/A,N/A,0.23584147736164202_probability_max_VENTTUBE=0,2,0.1,1e-05,true,false,roundrobin,delta,true,	31,0.145,100.0,89
alarm,N/A,N/A,0.233485397442_probability_max_VENTTUBE=0,2,0.1,0.01,true,true,roundrobin,delta,true,	15,0.144,100.0,41
alarm,N/A,N/A,0.0367772697036252_probability_max_VENTTUBE=0,2,1e-06,1e-05,true,true,roundrobin,delta,true,	15,0.138,100.0,5
alarm,N/A,N/A,0.033099873732000004_probability_max_VENTTUBE=0,2,1e-06,0.1,true,false,roundrobin,delta,true,	31,0.138,100.0,17
alarm,N/A,N/A,0.036773959716252_probability_max_VENTTUBE=0,2,1e-06,0.0001,true,true,roundrobin,delta,true,	15,0.138,100.0,5
alarm,N/A,N/A,0.033099873732000004_probability_max_VENTTUBE=0,2,1e-06,0.1,true,true,roundrobin,delta,true,	15,0.138,100.0,5
