Model,Const,Mem,Prop,Region,Region Bound,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (wall),% Known,Regions
4x4grid-avoid,N/A,1,0.9306805269300001_probability_min_notbad U goal,?,0.1,0.1,true,true,estimate,delta,true,	47,0.022,100.0,25
4x4grid-avoid,N/A,1,0.9306805269300001_probability_min_notbad U goal,?,0.1,0.1,true,false,estimate,delta,true,	45,0.022,100.0,33
4x4grid-avoid,N/A,1,0.8460816670320631_probability_min_notbad U goal,?,0.1,1e-05,true,true,estimate,delta,true,	47,1.015,100.0,13377
4x4grid-avoid,N/A,1,0.8460816670320631_probability_min_notbad U goal,?,0.1,1e-05,true,false,estimate,delta,true,	45,1.19,100.0,19585
4x4grid-avoid,N/A,1,0.84615781362063_probability_min_notbad U goal,?,0.1,0.0001,false,false,estimate,delta,true,	45,0.307,100.0,6305
4x4grid-avoid,N/A,1,0.8460816670320631_probability_min_notbad U goal,?,0.1,1e-05,false,false,estimate,delta,true,	45,0.926,100.0,19585
4x4grid-avoid,N/A,1,0.84615781362063_probability_min_notbad U goal,?,0.1,0.0001,true,false,estimate,delta,true,	45,0.397,100.0,6305
4x4grid-avoid,N/A,1,0.8545339383630001_probability_min_notbad U goal,?,0.1,0.01,true,false,estimate,delta,true,	45,0.062,100.0,489
4x4grid-avoid,N/A,1,0.9306805269300001_probability_min_notbad U goal,?,0.1,0.1,false,false,estimate,delta,true,	45,0.021,100.0,33
4x4grid-avoid,N/A,1,0.8545339383630001_probability_min_notbad U goal,?,0.1,0.01,false,false,estimate,delta,true,	45,0.045,100.0,489
4x4grid-avoid,N/A,1,0.84615781362063_probability_min_notbad U goal,?,0.1,0.0001,true,true,estimate,delta,true,	47,0.357,100.0,4489
4x4grid-avoid,N/A,1,0.8545339383630001_probability_min_notbad U goal,?,0.1,0.01,true,true,estimate,delta,true,	47,0.056,100.0,361
4x4grid-avoid,N/A,1,0.928580463311776_probability_min_notbad U goal,?,1e-06,1e-05,false,false,estimate,delta,true,	45,10.435,100.0,48889
4x4grid-avoid,N/A,1,0.928580463311776_probability_min_notbad U goal,?,1e-06,1e-05,true,true,estimate,delta,true,	47,5.054,100.0,1497
4x4grid-avoid,N/A,1,0.928580463311776_probability_min_notbad U goal,?,1e-06,1e-05,true,false,estimate,delta,true,	45,37.21,100.0,49569
4x4grid-avoid,N/A,1,0.937856889376_probability_min_notbad U goal,?,1e-06,0.01,false,false,estimate,delta,true,	45,0.079,100.0,265
4x4grid-avoid,N/A,1,0.937856889376_probability_min_notbad U goal,?,1e-06,0.01,true,false,estimate,delta,true,	45,0.259,100.0,265
4x4grid-avoid,N/A,1,0.9286640347177599_probability_min_notbad U goal,?,1e-06,0.0001,true,false,estimate,delta,true,	45,26.059,100.0,9833
4x4grid-avoid,N/A,1,0.9286640347177599_probability_min_notbad U goal,?,1e-06,0.0001,true,true,estimate,delta,true,	47,0.63,100.0,481
4x4grid-avoid,N/A,1,0.937856889376_probability_min_notbad U goal,?,1e-06,0.01,true,true,estimate,delta,true,	47,0.037,100.0,73
4x4grid-avoid,N/A,1,0.9286640347177599_probability_min_notbad U goal,?,1e-06,0.0001,false,false,estimate,delta,true,	45,7.579,100.0,9961
4x4grid,N/A,1,6.3552953673_reward_max_goal,?,0.1,0.01,true,true,estimate,delta,true,	49,0.027,100.0,121
4x4grid,N/A,1,5.777541243_reward_max_goal,?,0.1,0.1,true,true,estimate,delta,true,	49,0.021,100.0,41
4x4grid,N/A,1,6.3552953673_reward_max_goal,?,0.1,0.01,true,false,estimate,delta,true,	47,0.026,100.0,137
4x4grid,N/A,1,6.418848320973_reward_max_goal,?,0.1,0.0001,true,true,estimate,delta,true,	49,0.111,100.0,1273
4x4grid,N/A,1,5.777541243_reward_max_goal,?,0.1,0.1,false,false,estimate,delta,true,	47,0.019,100.0,41
4x4grid,N/A,1,6.418848320973_reward_max_goal,?,0.1,0.0001,false,false,estimate,delta,true,	47,0.078,100.0,1369
4x4grid,N/A,1,6.4194260750973005_reward_max_goal,?,0.1,1e-05,false,false,estimate,delta,true,	47,0.213,100.0,4361
4x4grid,N/A,1,6.418848320973_reward_max_goal,?,0.1,0.0001,true,false,estimate,delta,true,	47,0.097,100.0,1369
4x4grid,N/A,1,6.4194260750973005_reward_max_goal,?,0.1,1e-05,true,false,estimate,delta,true,	47,0.272,100.0,4361
4x4grid,N/A,1,5.777541243_reward_max_goal,?,0.1,0.1,true,false,estimate,delta,true,	47,0.02,100.0,41
4x4grid,N/A,1,6.3552953673_reward_max_goal,?,0.1,0.01,false,false,estimate,delta,true,	47,0.023,100.0,137
4x4grid,N/A,1,6.4194260750973005_reward_max_goal,?,0.1,1e-05,true,true,estimate,delta,true,	49,0.29,100.0,3745
4x4grid,N/A,1,4.991260811129999_reward_max_goal,?,1e-06,0.01,true,false,estimate,delta,true,	47,0.027,100.0,153
4x4grid,N/A,1,4.991260811129999_reward_max_goal,?,1e-06,0.01,false,false,estimate,delta,true,	47,0.024,100.0,153
4x4grid,N/A,1,4.5375098283_reward_max_goal,?,1e-06,0.1,true,true,estimate,delta,true,	49,0.02,100.0,41
4x4grid,N/A,1,5.04162717022413_reward_max_goal,?,1e-06,1e-05,true,true,estimate,delta,true,	49,0.289,100.0,3561
4x4grid,N/A,1,5.0411734192413_reward_max_goal,?,1e-06,0.0001,true,true,estimate,delta,true,	49,0.099,100.0,1097
4x4grid,N/A,1,4.991260811129999_reward_max_goal,?,1e-06,0.01,true,true,estimate,delta,true,	49,0.027,100.0,121
4x4grid,N/A,1,4.5375098283_reward_max_goal,?,1e-06,0.1,false,false,estimate,delta,true,	47,0.018,100.0,41
4x4grid,N/A,1,5.0411734192413_reward_max_goal,?,1e-06,0.0001,true,false,estimate,delta,true,	47,0.092,100.0,1257
4x4grid,N/A,1,4.5375098283_reward_max_goal,?,1e-06,0.1,true,false,estimate,delta,true,	47,0.02,100.0,41
4x4grid,N/A,1,5.04162717022413_reward_max_goal,?,1e-06,1e-05,true,false,estimate,delta,true,	47,0.278,100.0,4281
4x4grid,N/A,1,5.0411734192413_reward_max_goal,?,1e-06,0.0001,false,false,estimate,delta,true,	47,0.073,100.0,1257
4x4grid,N/A,1,5.04162717022413_reward_max_goal,?,1e-06,1e-05,false,false,estimate,delta,true,	47,0.214,100.0,4281
alarm,N/A,N/A,0.23582036510505_probability_max_VENTTUBE=0,?,0.1,0.0001,false,false,estimate,delta,true,	31,0.066,100.0,73
alarm,N/A,N/A,0.21225955455_probability_max_VENTTUBE=0,?,0.1,0.1,false,false,estimate,delta,true,	31,0.062,100.0,21
alarm,N/A,N/A,0.233485510005_probability_max_VENTTUBE=0,?,0.1,0.01,true,false,estimate,delta,true,	31,0.064,100.0,49
alarm,N/A,N/A,0.233485510005_probability_max_VENTTUBE=0,?,0.1,0.01,false,false,estimate,delta,true,	31,0.064,100.0,49
alarm,N/A,N/A,0.23584159106050503_probability_max_VENTTUBE=0,?,0.1,1e-05,true,false,estimate,delta,true,	31,0.066,100.0,89
alarm,N/A,N/A,0.233485510005_probability_max_VENTTUBE=0,?,0.1,0.01,true,true,estimate,delta,true,	15,0.064,100.0,41
alarm,N/A,N/A,0.23582036510505_probability_max_VENTTUBE=0,?,0.1,0.0001,true,true,estimate,delta,true,	15,0.067,100.0,73
alarm,N/A,N/A,0.23582036510505_probability_max_VENTTUBE=0,?,0.1,0.0001,true,false,estimate,delta,true,	31,0.065,100.0,73
alarm,N/A,N/A,0.23584159106050503_probability_max_VENTTUBE=0,?,0.1,1e-05,true,true,estimate,delta,true,	15,0.067,100.0,85
alarm,N/A,N/A,0.23584159106050503_probability_max_VENTTUBE=0,?,0.1,1e-05,false,false,estimate,delta,true,	31,0.065,100.0,89
alarm,N/A,N/A,0.21225955455_probability_max_VENTTUBE=0,?,0.1,0.1,true,false,estimate,delta,true,	31,0.062,100.0,21
alarm,N/A,N/A,0.21225955455_probability_max_VENTTUBE=0,?,0.1,0.1,true,true,estimate,delta,true,	15,0.063,100.0,17
alarm,N/A,N/A,0.033099875991_probability_max_VENTTUBE=0,?,1e-06,0.1,true,false,estimate,delta,true,	31,0.062,100.0,17
alarm,N/A,N/A,0.033099875991_probability_max_VENTTUBE=0,?,1e-06,0.1,false,false,estimate,delta,true,	31,0.065,100.0,17
alarm,N/A,N/A,0.0367772722136001_probability_max_VENTTUBE=0,?,1e-06,1e-05,false,false,estimate,delta,true,	31,0.064,100.0,69
alarm,N/A,N/A,0.036773962226001_probability_max_VENTTUBE=0,?,1e-06,0.0001,true,true,estimate,delta,true,	15,0.063,100.0,5
alarm,N/A,N/A,0.033099875991_probability_max_VENTTUBE=0,?,1e-06,0.1,true,true,estimate,delta,true,	15,0.063,100.0,5
