Model,Const,Mem,Prop,Region,Region Bound,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (wall),% Known,Regions
4x4grid-avoid,N/A,1,0.8461579838376501_probability_min_notbad U goal,3,0.1,0.0001,true,false,estimate,delta,true,	45,0.967,100.0,6305
4x4grid-avoid,N/A,1,0.9306807141500001_probability_min_notbad U goal,3,0.1,0.1,true,true,estimate,delta,true,	47,0.05,100.0,25
4x4grid-avoid,N/A,1,0.8460818372337651_probability_min_notbad U goal,3,0.1,1e-05,true,true,estimate,delta,true,	47,2.412,100.0,13329
4x4grid-avoid,N/A,1,0.854534110265_probability_min_notbad U goal,3,0.1,0.01,true,false,estimate,delta,true,	45,0.139,100.0,489
4x4grid-avoid,N/A,1,0.8461579838376501_probability_min_notbad U goal,3,0.1,0.0001,true,true,estimate,delta,true,	47,0.861,100.0,4489
4x4grid-avoid,N/A,1,0.9306807141500001_probability_min_notbad U goal,3,0.1,0.1,true,false,estimate,delta,true,	45,0.05,100.0,33
4x4grid-avoid,N/A,1,0.8460818372337651_probability_min_notbad U goal,3,0.1,1e-05,true,false,estimate,delta,true,	45,2.817,100.0,19297
4x4grid-avoid,N/A,1,0.854534110265_probability_min_notbad U goal,3,0.1,0.01,true,true,estimate,delta,true,	47,0.132,100.0,361
4x4grid-avoid,N/A,1,0.9286640345177399_probability_min_notbad U goal,3,1e-06,0.0001,true,false,estimate,delta,true,	45,66.663,100.0,9833
4x4grid-avoid,N/A,1,0.9286640345177399_probability_min_notbad U goal,3,1e-06,0.0001,true,true,estimate,delta,true,	47,1.561,100.0,481
4x4grid-avoid,N/A,1,0.937856889174_probability_min_notbad U goal,3,1e-06,0.01,true,false,estimate,delta,true,	45,0.636,100.0,265
4x4grid-avoid,N/A,1,0.937856889174_probability_min_notbad U goal,3,1e-06,0.01,true,true,estimate,delta,true,	47,0.084,100.0,73
4x4grid-avoid,N/A,1,0.928580463111774_probability_min_notbad U goal,3,1e-06,1e-05,true,true,estimate,delta,true,	47,12.364,100.0,1497
4x4grid-avoid,N/A,1,0.928580463111774_probability_min_notbad U goal,3,1e-06,1e-05,true,false,estimate,delta,true,	45,92.72200000000001,100.0,49569
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,0,1e-05,true,true,estimate,delta,true,	47,0.192,100.0,137
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,0,0.01,true,true,estimate,delta,true,	47,0.1,100.0,73
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,0,0.0001,true,false,estimate,delta,true,	45,10.372,100.0,929
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,0,1e-05,true,false,estimate,delta,true,	45,10.561,100.0,929
4x4grid-avoid,N/A,1,0.9300930000000001_probability_min_notbad U goal,3,0,0.0001,true,true,estimate,delta,true,	47,0.193,100.0,137
4x4grid-avoid,N/A,1,0.9393_probability_min_notbad U goal,3,0,0.01,true,false,estimate,delta,true,	45,0.171,100.0,137
4x4grid-avoid,N/A,1,0.8572285736727613_probability_min_notbad U goal,3,"0,0.8",0.0001,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid-avoid,N/A,1,0.8571514308154166_probability_min_notbad U goal,3,"0,0.8",1e-05,false,false,estimate,delta,true,	45,2290.901,100.0,130905
4x4grid-avoid,N/A,1,0.8657142879806909_probability_min_notbad U goal,3,"0,0.8",0.01,false,false,estimate,delta,true,	45,0.456,100.0,369
4x4grid-avoid,N/A,1,0.8572285736727613_probability_min_notbad U goal,3,"0,0.8",0.0001,false,false,estimate,delta,true,	45,53.12,100.0,13441
4x4grid-avoid,N/A,1,0.8657142879806909_probability_min_notbad U goal,3,"0,0.8",0.01,true,true,estimate,delta,true,	47,0.175,100.0,177
4x4grid-avoid,N/A,1,0.942857145325505_probability_min_notbad U goal,3,"0,0.8",0.1,true,true,estimate,delta,true,	47,0.046,100.0,9
4x4grid-avoid,N/A,1,0.942857145325505_probability_min_notbad U goal,3,"0,0.8",0.1,true,false,estimate,delta,true,	45,0.058,100.0,41
4x4grid-avoid,N/A,1,0.942857145325505_probability_min_notbad U goal,3,"0,0.8",0.1,false,false,estimate,delta,true,	45,0.054,100.0,33
4x4grid-avoid,N/A,1,0.8657142879806909_probability_min_notbad U goal,3,"0,0.8",0.01,false,false,estimate,delta,true,	45,0.45,100.0,369
