Model,Const,Mem,Prop,Region,Region Bound,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (wall),% Known,Regions
4x4grid-avoid,N/A,1,0.8460818372337651_probability_min_notbad U goal,3,0.1,1e-05,true,true,estimate,delta,true,	47,2.391,100.0,13329
4x4grid-avoid,N/A,1,0.8460818372337651_probability_min_notbad U goal,3,0.1,1e-05,true,false,estimate,delta,true,	45,2.788,100.0,19297
4x4grid-avoid,N/A,1,0.8460818372337651_probability_min_notbad U goal,3,0.1,1e-05,false,false,estimate,delta,true,	45,2.665,100.0,19297
4x4grid-avoid,N/A,1,0.928580463111774_probability_min_notbad U goal,3,1e-06,1e-05,true,true,estimate,delta,true,	47,12.41,100.0,1497
4x4grid-avoid,N/A,1,0.928580463111774_probability_min_notbad U goal,3,1e-06,1e-05,false,false,estimate,delta,true,	45,25.348,100.0,48889
4x4grid-avoid,N/A,1,0.928580463111774_probability_min_notbad U goal,3,1e-06,1e-05,true,false,estimate,delta,true,	45,92.88,100.0,49569
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,0,1e-05,true,false,estimate,delta,true,	45,10.461,100.0,929
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,0,1e-05,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,0,1e-05,true,true,estimate,delta,true,	47,0.194,100.0,137
4x4grid-avoid,N/A,1,0.8571514308154166_probability_min_notbad U goal,3,"0,0.8",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid-avoid,N/A,1,0.8571514308154166_probability_min_notbad U goal,3,"0,0.8",1e-05,true,true,estimate,delta,true,	47,63.209,100.0,3289
4x4grid-avoid,N/A,1,0.8571514308154166_probability_min_notbad U goal,3,"0,0.8",1e-05,true,false,estimate,delta,true,	45,94.714,100.0,6721
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,"0.2,1",1e-05,true,false,estimate,delta,true,	45,2.002,100.0,449
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid-avoid,N/A,1,0.9300093000000001_probability_min_notbad U goal,3,"0.2,1",1e-05,true,true,estimate,delta,true,	47,0.101,100.0,65
4x4grid,N/A,1,6.41942677909026_reward_max_goal,3,0.1,1e-05,false,false,estimate,delta,true,	47,0.507,100.0,4433
4x4grid,N/A,1,6.41942677909026_reward_max_goal,3,0.1,1e-05,true,false,estimate,delta,true,	47,0.682,100.0,4433
4x4grid,N/A,1,6.41942677909026_reward_max_goal,3,0.1,1e-05,true,true,estimate,delta,true,	49,0.702,100.0,3753
4x4grid,N/A,1,5.041627221223621_reward_max_goal,3,1e-06,1e-05,true,false,estimate,delta,true,	47,0.663,100.0,4281
4x4grid,N/A,1,5.041627221223621_reward_max_goal,3,1e-06,1e-05,true,true,estimate,delta,true,	49,0.707,100.0,3561
4x4grid,N/A,1,5.041627221223621_reward_max_goal,3,1e-06,1e-05,false,false,estimate,delta,true,	47,0.506,100.0,4281
4x4grid,N/A,1,5.04161625033333_reward_max_goal,3,0,1e-05,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid,N/A,1,5.04161625033333_reward_max_goal,3,0,1e-05,true,false,estimate,delta,true,	47,0.931,100.0,4281
4x4grid,N/A,1,5.04161625033333_reward_max_goal,3,0,1e-05,true,true,estimate,delta,true,	49,0.905,100.0,3585
4x4grid,N/A,1,6.68722727305854_reward_max_goal,3,"0,0.8",1e-05,true,true,estimate,delta,true,	49,0.972,100.0,3841
4x4grid,N/A,1,6.68722727305854_reward_max_goal,3,"0,0.8",1e-05,true,false,estimate,delta,true,	47,0.955,100.0,4553
4x4grid,N/A,1,6.68722727305854_reward_max_goal,3,"0,0.8",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid,N/A,1,6.68722499008137_reward_max_goal,3,"0.2,1",1e-05,true,true,estimate,delta,true,	49,0.967,100.0,3841
4x4grid,N/A,1,6.68722499008137_reward_max_goal,3,"0.2,1",1e-05,false,false,estimate,delta,true,?,MO,MO,MO
4x4grid,N/A,1,6.68722499008137_reward_max_goal,3,"0.2,1",1e-05,true,false,estimate,delta,true,	47,1.547,100.0,4433
