Model,Const,Mem,Prop,Region,Region Bound,Epsilon,RobustPLA,BigStep,SplitStrat,Estimate,Simple,#States (after),Time (wall),% Known,Regions
4x4grid-avoid,N/A,1,0.84615762250152_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.0001,true,true,estimate,delta,true,	47,0.405,100.0,3928
4x4grid-avoid,N/A,1,0.9306803167200001_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.1,true,false,estimate,delta,true,	45,0.025,100.0,29
4x4grid-avoid,N/A,1,0.9306803167200001_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.1,true,true,estimate,delta,true,	47,0.024,100.0,22
4x4grid-avoid,N/A,1,0.9306803167200001_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.1,false,false,estimate,delta,true,	45,0.022,100.0,29
4x4grid-avoid,N/A,1,0.854533745352_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.01,true,false,estimate,delta,true,	45,0.07,100.0,428
4x4grid-avoid,N/A,1,0.854533745352_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.01,true,true,estimate,delta,true,	47,0.064,100.0,316
4x4grid-avoid,N/A,1,0.846081475930152_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,1e-05,true,true,estimate,delta,true,	47,1.144,100.0,11852
4x4grid-avoid,N/A,1,0.846081475930152_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,1e-05,false,false,estimate,delta,true,	45,1.062,100.0,17333
4x4grid-avoid,N/A,1,0.84615762250152_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.0001,false,false,estimate,delta,true,	45,0.355,100.0,5524
4x4grid-avoid,N/A,1,0.854533745352_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.01,false,false,estimate,delta,true,	45,0.047,100.0,428
4x4grid-avoid,N/A,1,0.84615762250152_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,0.0001,true,false,estimate,delta,true,	45,0.471,100.0,5524
4x4grid-avoid,N/A,1,0.846081475930152_probability_min_notbad U goal,"1/10<=p1_0<=9/10,1/10<=p4_0<=9/10,1/10<=p5_0<=9/10",0.1,1e-05,true,false,estimate,delta,true,	45,1.409,100.0,17333
4x4grid-avoid,N/A,1,0.937856889376_probability_min_notbad U goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000,1/1000000<=p5_0<=999999/1000000",1e-06,0.01,true,false,estimate,delta,true,	45,0.505,100.0,232
4x4grid-avoid,N/A,1,0.928580463311776_probability_min_notbad U goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000,1/1000000<=p5_0<=999999/1000000",1e-06,1e-05,false,false,estimate,delta,true,	45,19.18,100.0,63344
4x4grid-avoid,N/A,1,0.9286640347177599_probability_min_notbad U goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000,1/1000000<=p5_0<=999999/1000000",1e-06,0.0001,false,false,estimate,delta,true,	45,13.008,100.0,10781
4x4grid-avoid,N/A,1,0.928580463311776_probability_min_notbad U goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000,1/1000000<=p5_0<=999999/1000000",1e-06,1e-05,true,true,estimate,delta,true,	47,10.409,100.0,1296
4x4grid-avoid,N/A,1,0.937856889376_probability_min_notbad U goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000,1/1000000<=p5_0<=999999/1000000",1e-06,0.01,false,false,estimate,delta,true,	45,0.092,100.0,232
4x4grid-avoid,N/A,1,0.937856889376_probability_min_notbad U goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000,1/1000000<=p5_0<=999999/1000000",1e-06,0.01,true,true,estimate,delta,true,	47,0.055,100.0,64
4x4grid-avoid,N/A,1,0.9286640347177599_probability_min_notbad U goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000,1/1000000<=p5_0<=999999/1000000",1e-06,0.0001,true,false,estimate,delta,true,	45,85.96000000000001,100.0,10284
4x4grid-avoid,N/A,1,0.9286640347177599_probability_min_notbad U goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000,1/1000000<=p5_0<=999999/1000000",1e-06,0.0001,true,true,estimate,delta,true,	47,1.22,100.0,421
4x4grid-avoid,N/A,1,0.928580463311776_probability_min_notbad U goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000,1/1000000<=p5_0<=999999/1000000",1e-06,1e-05,true,false,estimate,delta,true,	45,114.167,100.0,63344
4x4grid,N/A,1,6.35529616722_reward_max_goal,"1/10<=p1_0<=9/10,1/10<=p3_0<=9/10,1/10<=p4_0<=9/10",0.1,0.01,true,true,estimate,delta,true,	49,0.029,100.0,106
4x4grid,N/A,1,5.777541970200001_reward_max_goal,"1/10<=p1_0<=9/10,1/10<=p3_0<=9/10,1/10<=p4_0<=9/10",0.1,0.1,true,true,estimate,delta,true,	49,0.022,100.0,36
4x4grid,N/A,1,5.777541970200001_reward_max_goal,"1/10<=p1_0<=9/10,1/10<=p3_0<=9/10,1/10<=p4_0<=9/10",0.1,0.1,false,false,estimate,delta,true,	47,0.018,100.0,36
4x4grid,N/A,1,6.4188491288922_reward_max_goal,"1/10<=p1_0<=9/10,1/10<=p3_0<=9/10,1/10<=p4_0<=9/10",0.1,0.0001,true,false,estimate,delta,true,	47,0.111,100.0,1198
4x4grid,N/A,1,6.35529616722_reward_max_goal,"1/10<=p1_0<=9/10,1/10<=p3_0<=9/10,1/10<=p4_0<=9/10",0.1,0.01,true,false,estimate,delta,true,	47,0.028,100.0,120
4x4grid,N/A,1,6.4188491288922_reward_max_goal,"1/10<=p1_0<=9/10,1/10<=p3_0<=9/10,1/10<=p4_0<=9/10",0.1,0.0001,true,true,estimate,delta,true,	49,0.125,100.0,1114
4x4grid,N/A,1,5.777541970200001_reward_max_goal,"1/10<=p1_0<=9/10,1/10<=p3_0<=9/10,1/10<=p4_0<=9/10",0.1,0.1,true,false,estimate,delta,true,	47,0.021,100.0,36
4x4grid,N/A,1,6.41942688308922_reward_max_goal,"1/10<=p1_0<=9/10,1/10<=p3_0<=9/10,1/10<=p4_0<=9/10",0.1,1e-05,true,false,estimate,delta,true,	47,0.317,100.0,3837
4x4grid,N/A,1,6.41942688308922_reward_max_goal,"1/10<=p1_0<=9/10,1/10<=p3_0<=9/10,1/10<=p4_0<=9/10",0.1,1e-05,false,false,estimate,delta,true,	47,0.246,100.0,3837
4x4grid,N/A,1,6.4188491288922_reward_max_goal,"1/10<=p1_0<=9/10,1/10<=p3_0<=9/10,1/10<=p4_0<=9/10",0.1,0.0001,false,false,estimate,delta,true,	47,0.087,100.0,1198
4x4grid,N/A,1,6.41942688308922_reward_max_goal,"1/10<=p1_0<=9/10,1/10<=p3_0<=9/10,1/10<=p4_0<=9/10",0.1,1e-05,true,true,estimate,delta,true,	49,0.336,100.0,3270
4x4grid,N/A,1,6.35529616722_reward_max_goal,"1/10<=p1_0<=9/10,1/10<=p3_0<=9/10,1/10<=p4_0<=9/10",0.1,0.01,false,false,estimate,delta,true,	47,0.023,100.0,120
4x4grid,N/A,1,4.5375098742_reward_max_goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p3_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000",1e-06,0.1,false,false,estimate,delta,true,	47,0.018,100.0,36
4x4grid,N/A,1,4.5375098742_reward_max_goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p3_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000",1e-06,0.1,true,true,estimate,delta,true,	49,0.021,100.0,36
4x4grid,N/A,1,5.041627221223621_reward_max_goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p3_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000",1e-06,1e-05,true,false,estimate,delta,true,	47,0.324,100.0,3746
4x4grid,N/A,1,4.991260861620001_reward_max_goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p3_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000",1e-06,0.01,true,true,estimate,delta,true,	49,0.028,100.0,106
4x4grid,N/A,1,5.041173470236201_reward_max_goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p3_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000",1e-06,0.0001,true,false,estimate,delta,true,	47,0.105,100.0,1100
4x4grid,N/A,1,5.041173470236201_reward_max_goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p3_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000",1e-06,0.0001,true,true,estimate,delta,true,	49,0.112,100.0,960
4x4grid,N/A,1,4.991260861620001_reward_max_goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p3_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000",1e-06,0.01,false,false,estimate,delta,true,	47,0.024,100.0,134
4x4grid,N/A,1,5.041627221223621_reward_max_goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p3_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000",1e-06,1e-05,true,true,estimate,delta,true,	49,0.339,100.0,3130
4x4grid,N/A,1,5.041627221223621_reward_max_goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p3_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000",1e-06,1e-05,false,false,estimate,delta,true,	47,0.252,100.0,3746
4x4grid,N/A,1,5.041173470236201_reward_max_goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p3_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000",1e-06,0.0001,false,false,estimate,delta,true,	47,0.086,100.0,1100
4x4grid,N/A,1,4.5375098742_reward_max_goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p3_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000",1e-06,0.1,true,false,estimate,delta,true,	47,0.02,100.0,36
4x4grid,N/A,1,4.991260861620001_reward_max_goal,"1/1000000<=p1_0<=999999/1000000,1/1000000<=p3_0<=999999/1000000,1/1000000<=p4_0<=999999/1000000",1e-06,0.01,true,false,estimate,delta,true,	47,0.028,100.0,134
alarm,N/A,N/A,0.233485476939_probability_max_VENTTUBE=0,"1/10<=x<=9/10,1/10<=y<=9/10",0.1,0.01,true,true,estimate,delta,true,	15,0.095,100.0,31
alarm,N/A,N/A,0.23582033170839_probability_max_VENTTUBE=0,"1/10<=x<=9/10,1/10<=y<=9/10",0.1,0.0001,false,false,estimate,delta,true,	31,0.136,100.0,55
alarm,N/A,N/A,0.21225952449_probability_max_VENTTUBE=0,"1/10<=x<=9/10,1/10<=y<=9/10",0.1,0.1,true,false,estimate,delta,true,	31,0.075,100.0,16
alarm,N/A,N/A,0.233485476939_probability_max_VENTTUBE=0,"1/10<=x<=9/10,1/10<=y<=9/10",0.1,0.01,false,false,estimate,delta,true,	31,0.099,100.0,37
