Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
nrp,K=10 ,1,0.1_probability__min_unfair,	140,?,,tt,0.002,0.0
nrp,K=10 ,1,0.1_probability__min_unfair,	113,?,,no-tt,N/A,N/A
nrp,K=10 ,2,0.1_probability__min_unfair,	462,?,,tt,ERR,ERR
nrp,K=10 ,2,0.1_probability__min_unfair,	315,?,,no-tt,ERR,ERR
network2_packets_sent,K=1 T=1 ,1,0.1_reward__min_goal,	1,?,,tt,0.0,0.0
network2_packets_sent,K=1 T=1 ,1,0.1_reward__min_goal,	1,?,,no-tt,0.0,0.0
network2_packets_sent,K=1 T=1 ,1,0.1_reward__min_goal,	1,?,,tt,0.0,0.0
network2_packets_sent,K=1 T=1 ,1,0.1_reward__min_goal,	1,?,,no-tt,0.0,0.0
network2_priorities_dropped_packets,K=1 T=1 ,1,3.5_reward__min_goal,	1,?,,tt,0.0,0.0
network2_priorities_dropped_packets,K=1 T=1 ,1,3.5_reward__min_goal,	1,?,,no-tt,0.005,0.0
4x4grid-avoid,N/A,1,"0.9_probability__max_""notbad"" U ""goal""",	1596,?,,tt,0.046,9.375
4x4grid-avoid,N/A,1,"0.9_probability__max_""notbad"" U ""goal""",	45,?,,no-tt,0.016,9.375
4x4grid-avoid,N/A,2,"0.9_probability__max_""notbad"" U ""goal""",	4792,?,,tt,N/A,N/A
4x4grid-avoid,N/A,2,"0.9_probability__max_""notbad"" U ""goal""",	165,?,,no-tt,N/A,N/A
4x4grid,N/A,1,4.4_reward__min_goal,	50,?,,tt,0.004,0.0
4x4grid,N/A,1,4.4_reward__min_goal,	47,?,,no-tt,0.003,0.0
4x4grid,N/A,1,4.3_reward__min_goal,	50,?,,tt,0.001,0.0
4x4grid,N/A,1,4.3_reward__min_goal,	47,?,,no-tt,0.003,0.0
4x4grid,N/A,1,4.2_reward__min_goal,	50,?,,tt,0.001,0.0
4x4grid,N/A,1,4.2_reward__min_goal,	47,?,,no-tt,0.003,0.0
4x4grid,N/A,1,4.1_reward__min_goal,	50,?,,tt,0.001,0.0
4x4grid,N/A,1,4.1_reward__min_goal,	47,?,,no-tt,0.002,0.0
4x4grid,N/A,2,4.4_reward__min_goal,	201,?,,tt,17.599,9.9976
4x4grid,N/A,2,4.4_reward__min_goal,	183,?,,no-tt,17.358,9.9976
4x4grid,N/A,2,4.3_reward__min_goal,	201,?,,tt,0.003,0.0
4x4grid,N/A,2,4.3_reward__min_goal,	183,?,,no-tt,17.401,9.9976
4x4grid,N/A,2,4.2_reward__min_goal,	201,?,,tt,0.003,0.0
4x4grid,N/A,2,4.2_reward__min_goal,	183,?,,no-tt,17.379,9.9976
4x4grid,N/A,2,4.1_reward__min_goal,	201,?,,tt,0.003,0.0
4x4grid,N/A,2,4.1_reward__min_goal,	183,?,,no-tt,0.003,0.0
newgrid,N=3 ,1,"0.99_probability__max_""notbad"" U ""goal""",	197,?,,tt,0.006,9.375
newgrid,N=3 ,1,"0.99_probability__max_""notbad"" U ""goal""",	45,?,,no-tt,0.004,9.375
newgrid,N=5 ,1,"0.99_probability__max_""notbad"" U ""goal""",	896,?,,tt,0.016,9.375
newgrid,N=5 ,1,"0.99_probability__max_""notbad"" U ""goal""",	105,?,,no-tt,0.008,9.375
newgrid,N=10 ,1,"0.99_probability__max_""notbad"" U ""goal""",	4960,?,,tt,0.091,9.375
newgrid,N=10 ,1,"0.99_probability__max_""notbad"" U ""goal""",	360,?,,no-tt,0.043,9.375
refuel,N=3 ,1,"0.05_probability__max_""notbad"" U ""goal""",	42,?,,tt,N/A,N/A
refuel,N=3 ,1,"0.05_probability__max_""notbad"" U ""goal""",	34,?,,no-tt,N/A,N/A
refuel,N=3 ,1,"0.06_probability__max_""notbad"" U ""goal""",	42,?,,tt,2.238,9.9976
refuel,N=3 ,1,"0.06_probability__max_""notbad"" U ""goal""",	34,?,,no-tt,13.104,9.9976
refuel,N=3 ,1,"0.07_probability__max_""notbad"" U ""goal""",	42,?,,tt,0.007,0.0
refuel,N=3 ,1,"0.07_probability__max_""notbad"" U ""goal""",	34,?,,no-tt,0.002,0.0
refuel,N=4 ,1,"0.05_probability__max_""notbad"" U ""goal""",	103,?,,tt,N/A,N/A
refuel,N=4 ,1,"0.05_probability__max_""notbad"" U ""goal""",	84,?,,no-tt,N/A,N/A
refuel,N=4 ,1,"0.06_probability__max_""notbad"" U ""goal""",	103,?,,tt,N/A,N/A
